source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
CPK,ITH,0.287,PRI,0.278,PIT,0.175,0.152,0.06,0.28,PRI,0.278,PIT,0.173,0.149,0.059,0.368,PRI,0.366,PIT,0.248,0.213,0.074,0.371,PIT,0.353,PRI,0.247,0.215,0.071,0.462,PIT,0.454,PRI,0.355,0.337,0.069,0.475,PIT,0.445,PRI,0.348,0.327,0.07
CPK,LNK,0.648,HOU,0.619,BOU,0.434,0.378,0.111,0.627,HOU,0.599,BOU,0.465,0.426,0.094,0.638,HOU,0.607,BOU,0.446,0.388,0.106,0.622,HOU,0.597,BOU,0.472,0.44,0.097,0.699,HOU,0.648,PIT,0.532,0.498,0.09,0.678,HOU,0.671,BOU,0.54,0.496,0.101
BOU,SEA,0.462,HOU,0.455,PAO,0.338,0.311,0.098,0.479,CMI,0.476,HOU,0.354,0.349,0.077,0.473,HOU,0.461,CMI,0.348,0.336,0.093,0.508,CMI,0.447,HOU,0.351,0.368,0.084,0.587,HOU,0.497,SLC,0.436,0.443,0.073,0.538,HOU,0.519,CMI,0.426,0.427,0.083
BOU,PAO,0.579,SLC,0.427,HOU,0.309,0.278,0.107,0.581,SLC,0.431,HOU,0.318,0.3,0.099,0.524,SLC,0.459,HOU,0.34,0.312,0.091,0.505,SLC,0.436,HOU,0.344,0.34,0.084,0.582,HOU,0.568,SLC,0.427,0.412,0.081,0.55,SLC,0.537,HOU,0.429,0.436,0.089
BOU,SAN,0.582,HOU,0.417,SLC,0.326,0.295,0.1,0.599,HOU,0.418,SLC,0.33,0.304,0.095,0.53,HOU,0.455,SLC,0.353,0.322,0.093,0.525,HOU,0.44,CMI,0.355,0.347,0.087,0.616,HOU,0.507,SLC,0.424,0.409,0.081,0.595,HOU,0.525,SEA,0.445,0.45,0.082
BOU,CMI,0.457,LNK,0.36,HOU,0.287,0.278,0.067,0.45,LNK,0.374,HOU,0.29,0.269,0.064,0.48,LNK,0.362,HOU,0.28,0.261,0.078,0.488,LNK,0.346,HOU,0.278,0.246,0.078,0.447,HOU,0.407,LNK,0.349,0.353,0.06,0.448,HOU,0.424,PIT,0.36,0.357,0.054
BOU,SLC,0.259,HOU,0.197,PAO,0.176,0.175,0.033,0.243,HOU,0.192,PAO,0.175,0.174,0.027,0.356,HOU,0.292,PAO,0.256,0.252,0.044,0.346,HOU,0.308,CMI,0.26,0.257,0.045,0.44,HOU,0.375,PIT,0.321,0.309,0.049,0.438,HOU,0.385,PAO,0.344,0.346,0.051
BOU,HOU,0.258,SLC,0.205,CMI,0.182,0.184,0.033,0.216,SLC,0.179,CMI,0.151,0.152,0.031,0.352,SLC,0.309,PIT,0.253,0.241,0.045,0.31,CMI,0.297,SLC,0.233,0.233,0.049,0.424,SLC,0.375,CMI,0.31,0.308,0.062,0.397,SLC,0.372,CMI,0.302,0.304,0.059
BOU,CPK,0.676,HOU,0.402,PIT,0.348,0.33,0.116,0.692,HOU,0.369,SLC,0.333,0.302,0.116,0.615,HOU,0.486,PIT,0.375,0.37,0.105,0.623,HOU,0.477,PIT,0.379,0.374,0.094,0.677,HOU,0.555,PIT,0.451,0.431,0.1,0.643,HOU,0.624,PIT,0.454,0.461,0.102
BOU,PIT,0.537,HOU,0.411,CMI,0.34,0.308,0.07,0.496,HOU,0.459,CMI,0.321,0.29,0.077,0.527,HOU,0.405,SLC,0.33,0.293,0.074,0.503,CMI,0.453,HOU,0.313,0.277,0.089,0.584,HOU,0.508,SLC,0.393,0.374,0.081,0.528,CMI,0.489,HOU,0.38,0.353,0.078
