source,target,lrv_tput,shortest,max_flow,longest,lrv_hops,node_conn,lrv_max_vis_prob,lrv_max_vis_node,lrv_mf_eff,lrv_nc_eff,lrv_inflation
PRA,VIE,1.777,1,3,31,10.563,2,0.438,MIL,0.59,1.0,10.56
PRA,STO,1.08,5,2,31,14.254,2,0.744,POZ,0.54,0.28,2.85
PRA,RIG,1.394,3,2,29,13.509,2,0.792,POZ,0.7,0.29,4.5
PRA,ZAG,1.431,4,3,30,14.307,2,0.739,MIL,0.48,0.37,3.58
PRA,SOF,1.438,4,3,29,13.334,2,0.742,MIL,0.48,0.37,3.33
PRA,TAR,1.39,4,2,28,13.359,2,0.789,POZ,0.69,0.29,3.34
PRA,SIN,0.547,6,1,26,18.783,1,1.0,LIS,0.55,-1.0,3.13
PRA,TIR,1.168,3,2,30,16.927,2,0.848,MIL,0.58,0.18,5.64
PRA,THE,0.885,5,2,31,18.734,1,1.0,SOF,0.44,-1.0,3.75
PRA,SKO,1.029,5,2,29,19.127,2,0.828,MIL,0.51,0.18,3.83
VIE,ZAG,1.877,3,3,28,12.994,2,0.652,MIL,0.63,0.65,4.33
BRA,PRA,1.454,2,2,30,14.928,2,0.809,VIE,0.73,0.28,7.46
BRA,VIE,1.645,1,2,31,9.623,2,0.392,MIL,0.82,1.0,9.62
BRA,HEL,1.033,6,2,30,20.915,2,0.841,VIE,0.52,0.16,3.49
BRA,STO,0.783,7,2,32,22.991,2,0.849,VIE,0.39,0.12,3.28
BRA,KAU,0.982,4,2,33,21.785,2,0.853,VIE,0.49,0.14,5.45
BRA,RIG,0.951,5,2,32,22.133,2,0.844,VIE,0.48,0.15,4.43
BRA,GEN,1.566,3,2,31,15.961,2,0.733,MIL,0.78,0.42,5.32
BRA,MAR,1.351,3,2,31,18.162,2,0.8,MIL,0.68,0.27,6.05
BRA,PAR,1.416,4,2,31,16.347,2,0.746,VIE,0.71,0.36,4.09
BRA,LJU,1.523,3,2,30,18.732,2,0.663,BUD,0.76,0.51,6.24
BRA,ZAG,1.72,2,2,29,15.266,2,0.643,BUD,0.86,0.61,7.63
BRA,HAM,1.114,5,2,33,20.251,2,0.832,VIE,0.56,0.19,4.05
BRA,BUC,1.392,2,2,31,16.047,2,0.81,BUD,0.7,0.26,8.02
BRA,SOF,1.732,3,2,29,13.653,2,0.628,BUD,0.87,0.64,4.55
BRA,TAR,0.949,6,2,31,22.323,2,0.848,VIE,0.47,0.14,3.72
BRA,LIS,0.894,5,2,34,22.384,2,0.829,MIL,0.45,0.15,4.48
BRA,POR,0.905,6,2,33,22.604,2,0.824,MIL,0.45,0.16,3.77
BRA,COP,1.127,5,2,32,20.329,2,0.832,VIE,0.56,0.19,4.07
BRA,LON,1.128,5,2,34,19.805,2,0.783,VIE,0.56,0.24,3.96
BRA,IST,1.007,4,2,31,19.578,1,1.0,SOF,0.5,-1.0,4.89
BRA,DUB,0.961,6,2,33,22.213,2,0.846,PAR,0.48,0.15,3.7
BRA,SIN,0.517,6,1,35,24.517,1,1.0,LIS,0.52,-1.0,4.09
BRA,MIL,1.893,2,2,24,10.491,2,0.527,VIE,0.95,0.9,5.25
BRA,BRU,1.238,5,2,34,19.08,2,0.773,VIE,0.62,0.28,3.82
BRA,LUX,1.089,4,2,33,21.212,2,0.793,VIE,0.54,0.23,5.3
BRA,TIR,1.281,3,2,30,18.851,2,0.72,MIL,0.64,0.36,6.28
BRA,POZ,1.162,3,2,32,17.98,2,0.837,VIE,0.58,0.19,5.99
BRA,THE,1.009,4,2,31,18.445,1,1.0,SOF,0.5,-1.0,4.61
BRA,COR,0.975,5,2,34,22.569,2,0.841,PAR,0.49,0.16,4.51
BRA,FRA,1.511,3,2,32,16.197,2,0.757,VIE,0.76,0.37,5.4
BRA,MAD,1.155,4,2,31,20.291,2,0.814,MIL,0.58,0.21,5.07
BRA,BUD,1.67,1,2,31,11.205,2,0.401,VIE,0.83,1.0,11.21
BRA,POD,0.771,3,1,30,18.848,1,1.0,ZAG,0.77,-1.0,6.28
BRA,SKO,1.156,4,2,31,18.193,2,0.807,SOF,0.58,0.22,4.55
BRA,OSL,0.767,6,2,32,23.132,2,0.845,VIE,0.38,0.12,3.86
BRA,KIE,0.71,4,1,33,24.591,1,1.0,POZ,0.71,-1.0,6.15
BRA,NIC,0.704,6,1,33,20.182,1,1.0,SOF,0.7,-1.0,3.36
HEL,PRA,1.337,4,2,29,14.08,2,0.689,COP,0.67,0.42,3.52
HEL,VIE,1.002,5,2,31,17.137,2,0.708,COP,0.5,0.29,3.43
HEL,STO,1.852,1,2,31,9.697,2,0.46,COP,0.93,1.0,9.7
