source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
BEL,DUB,0.925,MIL,0.872,PAR,0.441,0.446,0.219,0.938,MIL,0.858,PAR,0.443,0.407,0.205,0.854,MIL,0.853,PAR,0.425,0.407,0.184,0.866,MIL,0.829,PAR,0.432,0.403,0.179,0.871,MIL,0.859,PAR,0.437,0.422,0.182,0.859,PAR,0.844,MIL,0.451,0.412,0.172
BEL,SIN,1.0,LIS,0.962,MIL,0.478,0.476,0.242,1.0,LIS,0.969,MIL,0.498,0.481,0.227,1.0,LIS,0.902,MIL,0.454,0.423,0.212,1.0,LIS,0.914,MIL,0.489,0.444,0.2,1.0,LIS,0.905,MIL,0.471,0.423,0.204,1.0,LIS,0.877,MIL,0.473,0.414,0.185
BEL,MIL,0.579,ZAG,0.535,SOF,0.122,0.043,0.149,0.586,SOF,0.545,ZAG,0.11,0.016,0.161,0.599,SOF,0.541,ZAG,0.147,0.081,0.136,0.651,SOF,0.493,ZAG,0.126,0.042,0.151,0.632,SOF,0.565,ZAG,0.165,0.092,0.143,0.631,SOF,0.498,ZAG,0.15,0.075,0.14
BEL,BRU,0.902,MIL,0.779,GEN,0.359,0.311,0.204,0.888,MIL,0.754,GEN,0.347,0.254,0.201,0.828,MIL,0.659,GEN,0.36,0.303,0.172,0.828,MIL,0.672,SOF,0.352,0.29,0.173,0.845,MIL,0.679,SOF,0.387,0.337,0.166,0.811,MIL,0.689,SOF,0.379,0.311,0.16
BEL,LUX,0.899,MIL,0.813,FRA,0.382,0.339,0.208,0.9,MIL,0.806,FRA,0.368,0.275,0.206,0.835,MIL,0.776,FRA,0.386,0.334,0.179,0.842,MIL,0.79,FRA,0.394,0.336,0.171,0.851,MIL,0.75,FRA,0.429,0.392,0.174,0.822,MIL,0.803,FRA,0.415,0.368,0.169
BEL,TIR,0.748,SOF,0.369,ZAG,0.165,0.12,0.123,0.785,SOF,0.353,ZAG,0.154,0.097,0.133,0.726,SOF,0.508,MIL,0.237,0.205,0.117,0.756,SOF,0.477,MIL,0.222,0.175,0.121,0.768,SOF,0.512,MIL,0.261,0.228,0.118,0.792,SOF,0.576,MIL,0.31,0.286,0.117
BEL,POZ,0.84,MIL,0.823,PRA,0.366,0.35,0.216,0.88,PRA,0.839,MIL,0.349,0.278,0.23,0.776,MIL,0.745,PRA,0.366,0.353,0.187,0.834,PRA,0.764,MIL,0.341,0.288,0.204,0.831,MIL,0.718,PRA,0.387,0.361,0.189,0.812,PRA,0.76,MIL,0.374,0.378,0.192
BEL,THE,1.0,SOF,0.414,IST,0.124,0.076,0.161,1.0,SOF,0.377,IST,0.154,0.105,0.158,1.0,SOF,0.512,IST,0.172,0.126,0.159,1.0,SOF,0.434,IST,0.198,0.155,0.155,1.0,SOF,0.504,IST,0.233,0.197,0.156,1.0,SOF,0.518,IST,0.254,0.216,0.154
BEL,COR,0.946,PAR,0.913,MIL,0.414,0.38,0.216,0.931,PAR,0.927,MIL,0.428,0.387,0.207,0.858,PAR,0.852,MIL,0.415,0.387,0.187,0.878,PAR,0.859,MIL,0.429,0.396,0.178,0.875,MIL,0.862,PAR,0.441,0.412,0.179,0.91,PAR,0.85,MIL,0.446,0.414,0.173
BEL,FRA,0.875,MIL,0.68,GEN,0.288,0.204,0.194,0.87,MIL,0.65,GEN,0.256,0.16,0.211,0.793,MIL,0.626,SOF,0.296,0.224,0.166,0.777,MIL,0.679,SOF,0.262,0.171,0.188,0.819,MIL,0.669,SOF,0.319,0.243,0.163,0.825,MIL,0.671,SOF,0.306,0.267,0.165
BEL,MAD,0.944,MIL,0.815,MAR,0.347,0.308,0.206,0.952,MIL,0.829,MAR,0.341,0.27,0.203,0.906,MIL,0.731,MAR,0.359,0.312,0.179,0.905,MIL,0.785,MAR,0.342,0.287,0.188,0.907,MIL,0.715,MAR,0.383,0.342,0.177,0.879,MIL,0.759,MAR,0.387,0.345,0.17
BEL,BUD,0.633,ZAG,0.439,SOF,0.151,0.12,0.108,0.583,ZAG,0.502,SOF,0.141,0.097,0.116,0.588,SOF,0.536,ZAG,0.189,0.152,0.109,0.596,SOF,0.54,ZAG,0.172,0.133,0.115,0.631,SOF,0.549,ZAG,0.232,0.207,0.108,0.578,SOF,0.572,ZAG,0.208,0.176,0.107
BEL,POD,1.0,ZAG,0.334,BUD,0.139,0.098,0.152,1.0,ZAG,0.436,BUD,0.2,0.158,0.153,1.0,ZAG,0.384,SOF,0.197,0.154,0.148,1.0,ZAG,0.511,SOF,0.267,0.218,0.147,1.0,ZAG,0.573,SOF,0.319,0.285,0.146,1.0,ZAG,0.601,SOF,0.334,0.292,0.146
BEL,SKO,0.34,SOF,0.128,THE,0.053,0.034,0.054,0.367,SOF,0.15,THE,0.076,0.055,0.057,0.383,SOF,0.157,ZAG,0.092,0.072,0.056,0.423,SOF,0.218,ZAG,0.132,0.112,0.06,0.468,SOF,0.273,BUD,0.164,0.147,0.069,0.499,SOF,0.29,BUD,0.18,0.159,0.073
BEL,OSL,0.946,COP,0.901,MIL,0.521,0.525,0.227,0.935,COP,0.896,MIL,0.528,0.564,0.211,0.796,MIL,0.779,PRA,0.482,0.516,0.188,0.83,MIL,0.796,COP,0.494,0.495,0.175,0.83,MIL,0.753,COP,0.501,0.521,0.183,0.84,COP,0.815,MIL,0.493,0.451,0.172
BEL,KIE,1.0,POZ,0.909,PRA,0.466,0.482,0.215,1.0,POZ,0.893,PRA,0.484,0.464,0.202,1.0,POZ,0.828,PRA,0.477,0.501,0.196,1.0,POZ,0.87,PRA,0.495,0.463,0.182,1.0,POZ,0.839,PRA,0.515,0.537,0.19,1.0,POZ,0.832,PRA,0.53,0.539,0.179
BEL,NIC,1.0,SOF,1.0,THE,0.164,0.058,0.259,1.0,SOF,1.0,THE,0.233,0.133,0.243,1.0,SOF,1.0,THE,0.224,0.135,0.235,1.0,SOF,1.0,THE,0.276,0.193,0.223,1.0,SOF,1.0,THE,0.275,0.189,0.225,1.0,SOF,1.0,THE,0.302,0.229,0.214
IST,PRA,1.0,SOF,0.843,MIL,0.341,0.31,0.229,1.0,SOF,0.804,MIL,0.295,0.203,0.248,1.0,SOF,0.772,MIL,0.332,0.291,0.207,1.0,SOF,0.764,VIE,0.289,0.222,0.229,1.0,SOF,0.835,MIL,0.368,0.328,0.215,1.0,SOF,0.843,MIL,0.375,0.332,0.222
IST,VIE,1.0,SOF,0.696,MIL,0.264,0.19,0.209,1.0,SOF,0.672,MIL,0.224,0.111,0.232,1.0,SOF,0.637,MIL,0.264,0.198,0.191,1.0,SOF,0.642,MIL,0.234,0.15,0.208,1.0,SOF,0.709,MIL,0.311,0.248,0.187,1.0,SOF,0.745,MIL,0.315,0.261,0.185
IST,STO,1.0,SOF,0.916,MIL,0.59,0.609,0.211,1.0,SOF,0.922,MIL,0.606,0.649,0.197,1.0,SOF,0.84,MIL,0.548,0.549,0.187,1.0,SOF,0.858,MIL,0.561,0.543,0.17,1.0,SOF,0.873,MIL,0.568,0.562,0.181,1.0,SOF,0.852,MIL,0.564,0.554,0.166
IST,KAU,1.0,SOF,0.913,POZ,0.526,0.521,0.216,1.0,SOF,0.91,MIL,0.522,0.537,0.218,1.0,SOF,0.823,MIL,0.514,0.511,0.188,1.0,SOF,0.848,POZ,0.506,0.482,0.187,1.0,SOF,0.873,MIL,0.535,0.542,0.184,1.0,SOF,0.858,POZ,0.517,0.507,0.182
IST,RIG,1.0,SOF,0.909,MIL,0.565,0.584,0.202,1.0,SOF,0.927,MIL,0.582,0.592,0.194,1.0,SOF,0.849,MIL,0.514,0.518,0.185,1.0,SOF,0.853,MIL,0.536,0.547,0.177,1.0,SOF,0.865,MIL,0.54,0.556,0.187,1.0,SOF,0.852,MIL,0.54,0.539,0.17
