graph_id,graph_label,variant,erase_loops,src,tgt,exposure_pct
geant,GÉANT,HS,False,HEL,RIG,64.800000
geant,GÉANT,HS,False,HEL,GEN,73.900000
geant,GÉANT,HS,False,HEL,MAR,77.200000
geant,GÉANT,HS,False,HEL,BIL,76.600000
geant,GÉANT,HS,False,HEL,PAR,74.400000
geant,GÉANT,HS,False,HEL,LJU,82.200000
geant,GÉANT,HS,False,HEL,ZAG,80.400000
geant,GÉANT,HS,False,HEL,BER,64.800000
geant,GÉANT,HS,False,HEL,HAM,64.800000
geant,GÉANT,HS,False,HEL,BUC,80.400000
geant,GÉANT,HS,False,HEL,SOF,82.100000
geant,GÉANT,HS,False,HEL,TAR,0.000000
geant,GÉANT,HS,False,HEL,LIS,82.000000
geant,GÉANT,HS,False,HEL,POR,82.000000
geant,GÉANT,HS,False,HEL,COP,0.000000
geant,GÉANT,HS,False,HEL,LON,74.400000
geant,GÉANT,HS,False,HEL,BEL,80.400000
geant,GÉANT,HS,False,HEL,DUB,80.100000
geant,GÉANT,HS,False,HEL,MIL,77.200000
geant,GÉANT,HS,False,HEL,BRU,74.400000
geant,GÉANT,HS,False,HEL,LUX,75.600000
geant,GÉANT,HS,False,HEL,TIR,82.100000
geant,GÉANT,HS,False,HEL,POZ,64.800000
geant,GÉANT,HS,False,HEL,AMS,70.800000
geant,GÉANT,HS,False,HEL,COR,83.200000
geant,GÉANT,HS,False,HEL,FRA,73.900000
geant,GÉANT,HS,False,HEL,MAD,80.500000
geant,GÉANT,HS,False,HEL,BUD,80.400000
geant,GÉANT,HS,False,HEL,SKO,82.100000
geant,GÉANT,HS,False,HEL,OSL,67.400000
geant,GÉANT,HS,False,STO,PRA,74.800000
geant,GÉANT,HS,False,STO,VIE,81.800000
geant,GÉANT,HS,False,STO,BRA,85.000000
geant,GÉANT,HS,False,STO,HEL,0.000000
geant,GÉANT,HS,False,STO,KAU,74.800000
geant,GÉANT,HS,False,STO,RIG,74.800000
geant,GÉANT,HS,False,STO,GEN,81.700000
geant,GÉANT,HS,False,STO,MAR,83.500000
geant,GÉANT,HS,False,STO,BIL,83.700000
geant,GÉANT,HS,False,STO,PAR,82.000000
geant,GÉANT,HS,False,STO,LJU,84.700000
geant,GÉANT,HS,False,STO,ZAG,86.300000
geant,GÉANT,HS,False,STO,BER,74.800000
geant,GÉANT,HS,False,STO,HAM,74.800000
geant,GÉANT,HS,False,STO,BUC,86.300000
geant,GÉANT,HS,False,STO,SOF,87.400000
geant,GÉANT,HS,False,STO,TAR,64.600000
geant,GÉANT,HS,False,STO,LIS,86.800000
geant,GÉANT,HS,False,STO,POR,86.800000
geant,GÉANT,HS,False,STO,COP,50.900000
geant,GÉANT,HS,False,STO,LON,81.800000
geant,GÉANT,HS,False,STO,BEL,86.300000
geant,GÉANT,HS,False,STO,DUB,85.300000
geant,GÉANT,HS,False,STO,MIL,83.600000
geant,GÉANT,HS,False,STO,BRU,81.800000
geant,GÉANT,HS,False,STO,LUX,82.400000
geant,GÉANT,HS,False,STO,TIR,84.700000
geant,GÉANT,HS,False,STO,POZ,74.800000
geant,GÉANT,HS,False,STO,AMS,78.800000
geant,GÉANT,HS,False,STO,COR,83.800000
geant,GÉANT,HS,False,STO,FRA,81.700000
geant,GÉANT,HS,False,STO,MAD,85.500000
geant,GÉANT,HS,False,STO,BUD,86.300000
geant,GÉANT,HS,False,STO,SKO,87.400000
geant,GÉANT,HS,False,STO,OSL,0.000000
geant,GÉANT,HS,False,KAU,PRA,72.500000
geant,GÉANT,HS,False,KAU,VIE,73.200000
geant,GÉANT,HS,False,KAU,BRA,75.900000
geant,GÉANT,HS,False,KAU,HEL,52.000000
geant,GÉANT,HS,False,KAU,STO,77.500000
geant,GÉANT,HS,False,KAU,RIG,0.000000
geant,GÉANT,HS,False,KAU,GEN,72.500000
geant,GÉANT,HS,False,KAU,MAR,74.400000
geant,GÉANT,HS,False,KAU,BIL,75.100000
geant,GÉANT,HS,False,KAU,PAR,72.900000
geant,GÉANT,HS,False,KAU,LJU,81.300000
geant,GÉANT,HS,False,KAU,ZAG,77.500000
geant,GÉANT,HS,False,KAU,BER,50.700000
geant,GÉANT,HS,False,KAU,HAM,50.700000
geant,GÉANT,HS,False,KAU,BUC,77.500000
geant,GÉANT,HS,False,KAU,SOF,81.500000
geant,GÉANT,HS,False,KAU,TAR,53.400000
geant,GÉANT,HS,False,KAU,LIS,80.400000
geant,GÉANT,HS,False,KAU,POR,80.400000
geant,GÉANT,HS,False,KAU,COP,50.700000
geant,GÉANT,HS,False,KAU,LON,72.500000
geant,GÉANT,HS,False,KAU,BEL,77.500000
geant,GÉANT,HS,False,KAU,DUB,78.800000
geant,GÉANT,HS,False,KAU,MIL,74.400000
